banking marketing,,,,,,,,,,,,,,,,,,
customer id and age.,,Customer salary and balance.,,Customer marital status and job with education level.,,particular customer before targeted or not,,Loan types: loans or housing loans,,Contact type,,month of contact,duration of call,,,,outcome of previous contact,response of customer after call happned
81,45,50000,206,single,"admin.,secondary",yes,no,yes,no,unknown,5,"may, 2017",193 sec,1,-1,0,unknown,no
82,47,70000,164,divorced,"services,secondary",yes,no,no,no,unknown,5,"may, 2017",212 sec,1,-1,0,unknown,no
83,42,60000,690,single,"technician,secondary",yes,no,yes,no,unknown,5,"may, 2017",20 sec,1,-1,0,unknown,no
84,59,50000,2343,married,"admin.,secondary",yes,no,yes,no,unknown,5,"may, 2017",1042 sec,1,-1,0,unknown,yes
85,46,60000,137,married,"self-employed,tertiary",yes,no,yes,yes,unknown,5,"may, 2017",246 sec,1,-1,0,unknown,no
86,51,20000,173,married,"blue-collar,primary",yes,no,yes,no,unknown,5,"may, 2017",529 sec,2,-1,0,unknown,no
87,56,50000,45,married,"admin.,secondary",yes,no,no,no,unknown,5,"may, 2017",1467 sec,1,-1,0,unknown,yes
88,41,60000,1270,married,"technician,secondary",yes,no,yes,no,unknown,5,"may, 2017",1389 sec,1,-1,0,unknown,yes
89,46,100000,16,divorced,"management,secondary",yes,no,yes,yes,unknown,5,"may, 2017",188 sec,2,-1,0,unknown,no
90,57,55000,486,married,"retired,secondary",yes,no,yes,no,unknown,5,"may, 2017",180 sec,2,-1,0,unknown,no
91,42,100000,50,single,"management,secondary",yes,no,no,no,unknown,5,"may, 2017",48 sec,1,-1,0,unknown,no
92,30,60000,152,married,"technician,secondary",yes,no,yes,yes,unknown,5,"may, 2017",213 sec,2,-1,0,unknown,no
93,60,50000,290,married,"admin.,secondary",yes,no,yes,no,unknown,5,"may, 2017",583 sec,1,-1,0,unknown,no
94,60,20000,54,married,"blue-collar,unknown",no,no,yes,no,unknown,5,"may, 2017",221 sec,1,-1,0,unknown,no
95,57,120000,-37,divorced,"entrepreneur,secondary",yes,no,no,no,unknown,5,"may, 2017",173 sec,1,-1,0,unknown,no
96,36,100000,101,married,"management,tertiary",yes,no,yes,yes,unknown,5,"may, 2017",426 sec,1,-1,0,unknown,no
97,55,20000,383,married,"blue-collar,secondary",yes,no,no,no,unknown,5,"may, 2017",287 sec,1,-1,0,unknown,no
98,60,55000,81,married,"retired,tertiary",yes,no,yes,no,unknown,5,"may, 2017",101 sec,1,-1,0,unknown,no
99,39,60000,0,married,"technician,secondary",yes,no,yes,no,unknown,5,"may, 2017",203 sec,1,-1,0,unknown,no
100,46,100000,229,married,"management,tertiary",yes,no,yes,no,unknown,5,"may, 2017",197 sec,1,-1,0,unknown,no
101,44,20000,-674,married,"blue-collar,secondary",yes,no,yes,no,unknown,5,"may, 2017",257 sec,1,-1,0,unknown,no
102,53,20000,90,married,"blue-collar,primary",yes,no,no,no,unknown,5,"may, 2017",124 sec,1,-1,0,unknown,no
103,52,20000,128,married,"blue-collar,primary",yes,no,yes,no,unknown,5,"may, 2017",229 sec,1,-1,0,unknown,no
104,59,20000,179,married,"blue-collar,primary",yes,no,yes,no,unknown,5,"may, 2017",55 sec,3,-1,0,unknown,no
105,27,60000,0,single,"technician,tertiary",no,no,yes,no,unknown,5,"may, 2017",400 sec,1,-1,0,unknown,no
106,44,20000,54,married,"blue-collar,secondary",yes,no,yes,no,unknown,5,"may, 2017",197 sec,1,-1,0,unknown,no
107,47,60000,151,married,"technician,tertiary",yes,no,yes,no,unknown,5,"may, 2017",190 sec,1,-1,0,unknown,no
108,34,50000,61,married,"admin.,secondary",yes,no,no,yes,unknown,5,"may, 2017",21 sec,1,-1,0,unknown,no
109,59,55000,30,single,"retired,secondary",yes,no,yes,no,unknown,5,"may, 2017",514 sec,1,-1,0,unknown,no
110,45,100000,523,married,"management,tertiary",yes,no,yes,no,unknown,5,"may, 2017",849 sec,2,-1,0,unknown,no
111,29,70000,31,divorced,"services,secondary",yes,no,yes,no,unknown,5,"may, 2017",194 sec,1,-1,0,unknown,no
112,46,60000,79,divorced,"technician,secondary",yes,no,no,no,unknown,5,"may, 2017",144 sec,1,-1,0,unknown,no
113,56,60000,-34,married,"self-employed,primary",yes,no,yes,yes,unknown,5,"may, 2017",212 sec,2,-1,0,unknown,no
114,36,20000,448,married,"blue-collar,primary",yes,no,yes,no,unknown,5,"may, 2017",286 sec,1,-1,0,unknown,no
115,59,55000,81,divorced,"retired,primary",yes,no,yes,no,unknown,5,"may, 2017",107 sec,1,-1,0,unknown,no
116,44,20000,144,married,"blue-collar,secondary",yes,no,yes,no,unknown,5,"may, 2017",247 sec,2,-1,0,unknown,no
117,41,50000,351,married,"admin.,secondary",yes,no,yes,no,unknown,5,"may, 2017",518 sec,1,-1,0,unknown,no
118,33,100000,-67,single,"management,tertiary",no,no,yes,no,unknown,5,"may, 2017",364 sec,1,-1,0,unknown,no
119,59,100000,262,divorced,"management,tertiary",no,no,no,no,unknown,5,"may, 2017",178 sec,1,-1,0,unknown,no
120,57,60000,0,married,"technician,primary",yes,no,no,no,unknown,5,"may, 2017",98 sec,1,-1,0,unknown,no
121,56,60000,56,divorced,"technician,unknown",no,no,yes,no,unknown,5,"may, 2017",439 sec,1,-1,0,unknown,no
122,51,20000,26,married,"blue-collar,secondary",yes,no,yes,no,unknown,5,"may, 2017",79 sec,1,-1,0,unknown,no
123,34,50000,3,married,"admin.,unknown",no,no,yes,no,unknown,5,"may, 2017",120 sec,3,-1,0,unknown,no
124,43,70000,41,married,"services,secondary",yes,no,yes,yes,unknown,5,"may, 2017",127 sec,2,-1,0,unknown,no
125,52,60000,7,married,"technician,tertiary",yes,no,no,yes,unknown,5,"may, 2017",175 sec,1,-1,0,unknown,no
126,33,60000,105,single,"technician,secondary",yes,no,yes,no,unknown,5,"may, 2017",262 sec,2,-1,0,unknown,no
127,29,50000,818,single,"admin.,secondary",yes,no,yes,yes,unknown,5,"may, 2017",61 sec,1,-1,0,unknown,no
128,34,70000,-16,married,"services,secondary",yes,no,yes,yes,unknown,5,"may, 2017",78 sec,1,-1,0,unknown,no
129,31,20000,0,married,"blue-collar,secondary",yes,no,yes,no,unknown,5,"may, 2017",143 sec,1,-1,0,unknown,no
130,55,70000,2476,married,"services,secondary",yes,no,yes,no,unknown,5,"may, 2017",579 sec,1,-1,0,unknown,yes
131,55,100000,1185,married,"management,unknown",no,no,no,no,unknown,5,"may, 2017",677 sec,1,-1,0,unknown,no
132,32,50000,217,single,"admin.,secondary",yes,no,yes,no,unknown,5,"may, 2017",345 sec,1,-1,0,unknown,no
133,38,60000,1685,single,"technician,secondary",yes,no,yes,no,unknown,5,"may, 2017",185 sec,1,-1,0,unknown,no
134,55,50000,802,single,"admin.,secondary",yes,no,yes,yes,unknown,5,"may, 2017",100 sec,2,-1,0,unknown,no
135,28,8000,0,single,"unemployed,tertiary",no,no,yes,no,unknown,5,"may, 2017",125 sec,2,-1,0,unknown,no
136,23,20000,94,married,"blue-collar,secondary",yes,no,yes,no,unknown,5,"may, 2017",193 sec,1,-1,0,unknown,no
137,32,60000,0,single,"technician,secondary",yes,no,yes,no,unknown,5,"may, 2017",136 sec,1,-1,0,unknown,no
138,43,70000,0,single,"services,unknown",no,no,no,no,unknown,5,"may, 2017",73 sec,1,-1,0,unknown,no
139,32,20000,517,married,"blue-collar,secondary",yes,no,yes,no,unknown,5,"may, 2017",528 sec,1,-1,0,unknown,no
140,46,20000,265,married,"blue-collar,secondary",yes,no,yes,no,unknown,5,"may, 2017",541 sec,1,-1,0,unknown,no
141,53,16000,947,divorced,"housemaid,primary",yes,no,yes,no,unknown,5,"may, 2017",163 sec,1,-1,0,unknown,no
142,34,60000,3,single,"self-employed,secondary",yes,no,yes,no,unknown,5,"may, 2017",301 sec,1,-1,0,unknown,no
143,57,8000,42,married,"unemployed,tertiary",yes,no,no,no,unknown,5,"may, 2017",46 sec,1,-1,0,unknown,no
144,37,20000,37,married,"blue-collar,secondary",yes,no,yes,no,unknown,5,"may, 2017",204 sec,1,-1,0,unknown,no
145,59,20000,57,married,"blue-collar,secondary",yes,no,yes,no,unknown,5,"may, 2017",98 sec,1,-1,0,unknown,no
146,33,70000,22,married,"services,secondary",yes,no,yes,no,unknown,5,"may, 2017",71 sec,1,-1,0,unknown,no
147,56,20000,8,divorced,"blue-collar,primary",yes,no,yes,no,unknown,5,"may, 2017",157 sec,2,-1,0,unknown,no
148,48,8000,293,married,"unemployed,secondary",yes,no,yes,no,unknown,5,"may, 2017",243 sec,1,-1,0,unknown,no
149,43,70000,3,married,"services,primary",yes,no,yes,no,unknown,5,"may, 2017",186 sec,2,-1,0,unknown,no
150,54,20000,348,married,"blue-collar,primary",yes,no,yes,no,unknown,5,"may, 2017",579 sec,2,-1,0,unknown,no
151,51,20000,-19,married,"blue-collar,unknown",no,no,yes,no,unknown,5,"may, 2017",163 sec,2,-1,0,unknown,no
152,26,4000,0,single,"student,secondary",yes,no,yes,no,unknown,5,"may, 2017",610 sec,2,-1,0,unknown,no
153,40,100000,-4,married,"management,tertiary",yes,no,yes,no,unknown,5,"may, 2017",2033 sec,1,-1,0,unknown,no
154,39,100000,18,married,"management,secondary",yes,no,yes,no,unknown,5,"may, 2017",85 sec,1,-1,0,unknown,no
155,50,60000,139,married,"technician,primary",yes,no,no,no,unknown,5,"may, 2017",114 sec,2,-1,0,unknown,no
156,41,70000,0,married,"services,secondary",yes,no,yes,no,unknown,5,"may, 2017",114 sec,2,-1,0,unknown,no
157,51,20000,1883,married,"blue-collar,unknown",no,no,yes,no,unknown,5,"may, 2017",57 sec,1,-1,0,unknown,no
158,60,55000,216,divorced,"retired,secondary",yes,no,yes,no,unknown,5,"may, 2017",238 sec,1,-1,0,unknown,no
159,52,20000,782,married,"blue-collar,secondary",yes,no,yes,no,unknown,5,"may, 2017",93 sec,3,-1,0,unknown,no
160,48,20000,904,married,"blue-collar,secondary",yes,no,yes,no,unknown,5,"may, 2017",128 sec,2,-1,0,unknown,no
161,48,70000,1705,married,"services,unknown",no,no,yes,no,unknown,5,"may, 2017",107 sec,1,-1,0,unknown,no
162,,60000,47,single,"technician,tertiary",no,no,yes,no,unknown,5,"may, 2017",181 sec,1,-1,0,unknown,no
163,47,70000,176,single,"services,secondary",yes,no,yes,no,unknown,5,"may, 2017",303 sec,2,-1,0,unknown,no
164,40,20000,1225,married,"blue-collar,secondary",yes,no,yes,no,unknown,5,"may, 2017",558 sec,5,-1,0,unknown,no
165,45,60000,86,married,"technician,secondary",yes,no,yes,no,unknown,5,"may, 2017",270 sec,1,-1,0,unknown,no
166,26,50000,82,single,"admin.,secondary",yes,no,yes,no,unknown,5,"may, 2017",228 sec,1,-1,0,unknown,no
167,52,100000,271,married,"management,tertiary",yes,no,yes,no,unknown,5,"may, 2017",99 sec,1,-1,0,unknown,no
168,54,60000,1378,married,"technician,secondary",yes,no,yes,no,unknown,5,"may, 2017",240 sec,1,-1,0,unknown,no
169,54,50000,184,married,"admin.,tertiary",yes,no,no,no,unknown,5,"may, 2017",673 sec,2,-1,0,unknown,yes
170,50,20000,0,married,"blue-collar,primary",yes,no,no,no,unknown,5,"may, 2017",233 sec,3,-1,0,unknown,no
171,35,20000,0,married,"blue-collar,secondary",yes,no,yes,no,unknown,5,"may, 2017",1056 sec,1,-1,0,unknown,no
172,44,70000,1357,married,"services,secondary",yes,no,yes,yes,unknown,5,"may, 2017",250 sec,1,-1,0,unknown,no
173,53,120000,19,married,"entrepreneur,unknown",no,no,yes,no,unknown,5,"may, 2017",252 sec,1,-1,0,unknown,no
174,35,55000,434,single,"retired,primary",yes,no,no,no,unknown,5,"may, 2017",138 sec,1,-1,0,unknown,no
175,60,50000,92,divorced,"admin.,secondary",yes,no,yes,no,unknown,5,"may, 2017",130 sec,1,-1,0,unknown,no
176,53,50000,1151,divorced,"admin.,secondary",yes,no,yes,no,unknown,5,"may, 2017",412 sec,1,-1,0,unknown,no
177,48,8000,41,married,"unemployed,secondary",yes,no,yes,no,unknown,5,"may, 2017",179 sec,2,-1,0,unknown,no
178,34,60000,51,married,"technician,secondary",yes,no,yes,no,unknown,5,"may, 2017",19 sec,2,-1,0,unknown,no
179,54,70000,214,married,"services,secondary",yes,no,yes,no,unknown,5,"may, 2017",458 sec,2,-1,0,unknown,no
180,51,100000,1161,married,"management,secondary",yes,no,yes,no,unknown,5,"may, 2017",717 sec,1,-1,0,unknown,no
181,31,70000,37,married,"services,tertiary",yes,no,yes,no,unknown,5,"may, 2017",313 sec,1,-1,0,unknown,no
182,35,60000,787,divorced,"technician,secondary",yes,no,yes,no,unknown,5,"may, 2017",683 sec,2,-1,0,unknown,no
183,35,70000,59,married,"services,secondary",yes,no,yes,no,unknown,5,"may, 2017",1077 sec,1,-1,0,unknown,no
184,38,60000,253,married,"technician,secondary",yes,no,yes,no,unknown,5,"may, 2017",416 sec,1,-1,0,unknown,no
185,36,50000,211,married,"admin.,tertiary",yes,no,yes,no,unknown,5,"may, 2017",146 sec,2,-1,0,unknown,no
186,58,55000,235,married,"retired,primary",yes,no,yes,no,unknown,5,"may, 2017",167 sec,1,-1,0,unknown,no
187,40,70000,4384,divorced,"services,unknown",no,no,yes,no,unknown,5,"may, 2017",315 sec,1,-1,0,unknown,no
188,54,100000,4080,married,"management,secondary",yes,no,no,no,unknown,5,"may, 2017",140 sec,1,-1,0,unknown,no
189,34,20000,53,single,"blue-collar,secondary",yes,no,yes,yes,unknown,5,"may, 2017",346 sec,1,-1,0,unknown,no
190,31,100000,0,single,"management,tertiary",no,no,yes,no,unknown,5,,562 sec,1,-1,0,unknown,no
191,51,55000,2127,married,"retired,secondary",yes,no,yes,no,unknown,5,"may, 2017",172 sec,1,-1,0,unknown,no
192,33,100000,377,married,"management,tertiary",yes,no,yes,no,unknown,5,"may, 2017",217 sec,1,-1,0,unknown,no
193,55,100000,73,married,"management,tertiary",yes,no,yes,no,unknown,5,"may, 2017",142 sec,2,-1,0,unknown,no
194,42,50000,445,married,"admin.,secondary",yes,no,yes,no,unknown,5,"may, 2017",67 sec,1,-1,0,unknown,no
195,34,20000,243,married,"blue-collar,secondary",yes,no,yes,no,unknown,5,"may, 2017",291 sec,1,-1,0,unknown,no
196,33,20000,307,single,"blue-collar,secondary",yes,no,yes,no,unknown,5,"may, 2017",309 sec,2,-1,0,unknown,no
197,38,70000,155,married,"services,secondary",yes,no,yes,no,unknown,5,"may, 2017",248 sec,1,-1,0,unknown,no
198,50,60000,173,divorced,"technician,tertiary",no,no,no,yes,unknown,5,"may, 2017",98 sec,1,-1,0,unknown,no
199,43,100000,400,married,"management,tertiary",yes,no,yes,no,unknown,5,"may, 2017",256 sec,1,-1,0,unknown,no
200,61,20000,1428,divorced,"blue-collar,primary",yes,no,yes,no,unknown,5,"may, 2017",82 sec,2,-1,0,unknown,no
201,47,50000,219,married,"admin.,secondary",yes,no,yes,no,unknown,5,"may, 2017",577 sec,1,-1,0,unknown,no
202,48,60000,7,married,"self-employed,tertiary",yes,no,yes,no,unknown,5,"may, 2017",286 sec,1,-1,0,unknown,no
203,44,20000,575,married,"blue-collar,secondary",yes,no,yes,no,unknown,5,"may, 2017",477 sec,1,-1,0,unknown,no
204,35,4000,298,single,"student,unknown",no,no,yes,no,unknown,5,"may, 2017",611 sec,2,-1,0,unknown,no
205,35,70000,0,married,"services,secondary",yes,no,yes,no,unknown,5,"may, 2017",471 sec,1,-1,0,unknown,no
206,50,70000,5699,married,"services,secondary",yes,no,yes,no,unknown,5,"may, 2017",381 sec,2,-1,0,unknown,no
207,41,100000,176,married,"management,tertiary",yes,no,yes,yes,unknown,5,"may, 2017",42 sec,1,-1,0,unknown,no
208,41,100000,517,married,"management,tertiary",yes,no,yes,no,unknown,5,"may, 2017",251 sec,1,-1,0,unknown,no
209,39,70000,257,single,"services,unknown",no,no,yes,no,unknown,5,"may, 2017",408 sec,1,-1,0,unknown,no
210,42,55000,56,married,"retired,secondary",yes,no,yes,no,unknown,5,"may, 2017",215 sec,1,-1,0,unknown,no
211,38,20000,-390,married,"blue-collar,secondary",yes,no,yes,no,unknown,5,"may, 2017",287 sec,1,-1,0,unknown,no
212,53,55000,330,married,"retired,secondary",yes,no,yes,no,unknown,5,"may, 2017",216 sec,2,-1,0,unknown,no
213,59,16000,195,divorced,"housemaid,primary",yes,no,no,no,unknown,5,"may, 2017",366 sec,2,-1,0,unknown,no
214,36,70000,301,married,"services,secondary",yes,no,yes,no,unknown,5,"may, 2017",210 sec,1,-1,0,unknown,no
215,54,20000,-41,married,"blue-collar,primary",yes,no,yes,no,unknown,5,"may, 2017",288 sec,1,-1,0,unknown,no
216,40,60000,483,married,"technician,tertiary",yes,no,yes,no,unknown,5,"may, 2017",168 sec,1,-1,0,unknown,no
217,47,0,28,married,"unknown,unknown",no,no,no,no,unknown,5,"may, 2017",338 sec,2,-1,0,unknown,no
218,53,8000,13,married,"unemployed,unknown",no,no,no,no,unknown,5,"may, 2017",410 sec,3,-1,0,unknown,no
219,46,16000,965,married,"housemaid,primary",yes,no,no,no,unknown,5,"may, 2017",177 sec,1,-1,0,unknown,no
220,39,100000,378,married,"management,tertiary",yes,no,yes,yes,unknown,5,"may, 2017",127 sec,2,-1,0,unknown,no
221,40,8000,219,married,"unemployed,secondary",yes,no,yes,no,unknown,5,"may, 2017",357 sec,1,-1,0,unknown,no
222,28,20000,324,married,"blue-collar,primary",yes,no,yes,no,unknown,5,"may, 2017",175 sec,1,-1,0,unknown,no
223,35,120000,-69,divorced,"entrepreneur,secondary",yes,no,yes,no,unknown,5,"may, 2017",300 sec,1,-1,0,unknown,no
224,55,55000,0,married,"retired,secondary",yes,no,no,yes,unknown,5,"may, 2017",136 sec,1,-1,0,unknown,no
